name,country,codeforces_id,competitions,Codeforces_rating_2025,Codeforces_rating_2024,Codeforces_rating_2023,Codeforces_rating_2022,search_confidence_percent
Daria Perekopska,Ukraine,daria_perekopska,"['EGOI 2024', 'EJOI 2024', 'RMI 2023 contest', 'RMI 2024 contest', 'IOI 2025', 'CEOI 2025', 'EGOI 2025']",2118.0,2139,1695,0,100.0
Kseniia Strelbytska,Ukraine,ksu_,"['EGOI 2024', 'EJOI 2024']",1962.0,2089,1903,1616,100.0
Sofija Čebašek,Serbia,Sofija06,"['EGOI 2024', 'RMI 2023 contest', 'RMI 2024 contest', 'EGOI 2023', 'IOI 2025', 'CEOI 2025', 'EGOI 2025']",1914.0,1914,1934,1701,100.0
Farah Demirović,Bosnia and Herzegovina,glupan,"['EGOI 2024', 'EGOI 2023', 'EGOI 2025']",1824.0,1824,1637,1482,66.66666666666666
Inès Fischler,France,oscar1f,"['IOI 2024', 'IOI 2023', 'JOI 2023 JOI_open', 'EGOI 2023', 'IOI 2025', 'EGOI 2025']",2309.0,2309,2290,1642,66.66666666666666
Maša Dobrić,Croatia,masa.dobric,"['EGOI 2024', 'COCI 2023 CONTEST_#1_formal', 'COCI 2023 CONTEST_#2_formal', 'COCI 2023 CONTEST_#3_formal', 'COCI 2023 CONTEST_#4_formal', 'COCI 2023 CONTEST_#5_formal', 'COCI 2024 CONTEST_#1_formal', 'COCI 2024 CONTEST_#2_formal', 'COCI 2024 CONTEST_#3_formal', 'COCI 2024 CONTEST_#4_formal', 'COCI 2024 CONTEST_#5_formal', 'COCI 2025 CONTEST_#1_formal', 'COCI 2025 CONTEST_#2_formal', 'COCI 2025 CONTEST_#3_formal', 'COCI 2025 CONTEST_#4_formal', 'EGOI 2023', 'COCI 2025 CONTEST_#5_formal']",2040.0,2019,1789,1625,100.0
Sofia Maragò,Italy,LaMatematica14,"['EGOI 2024', 'EGOI 2023', 'EGOI 2025']",1820.0,1862,1459,0,100.0
Nermin Hyusmen Idiriz,Bulgaria,nermin,"['EGOI 2024', 'EGOI 2023', 'OOI 2024 Qualification', 'OOI 2023 Qualification', 'IATI 2024 senior', 'EGOI 2025']",1726.0,1845,1616,1506,75.0
Sofija Velkovska,Croatia,coolplum,"['IOI 2024', 'COCI 2025 CONTEST_#3', 'COCI 2025 CONTEST_#5', 'EGOI 2023', 'JOI 2024 JOI_honsen', 'COCI 2023 CONTEST_#1_formal', 'COCI 2023 CONTEST_#2_formal', 'COCI 2024 CONTEST_#1_formal', 'COCI 2024 CONTEST_#2_formal', 'COCI 2024 CONTEST_#3_formal', 'COCI 2024 CONTEST_#4_formal', 'COCI 2024 CONTEST_#5_formal']",1687.0,1758,1778,1579,100.0
Iulia Morariu,Romania,iuli.morariu,"['EGOI 2024', 'COCI 2025 CONTEST_#3', 'COCI 2025 CONTEST_#4', 'RMI 2023 contest', 'RMI 2024 contest', 'EGOI 2025']",1751.0,1694,1493,1444,66.66666666666666
Irina Stanišić,Serbia,stanirina,"['EGOI 2024', 'EJOI 2024', 'EGOI 2025']",1818.0,1716,1112,0,100.0
Eulàlia Gaya Bretones,Spain,lalig777,"['EGOI 2024', 'EGOI 2023', 'IOI 2025', 'EGOI 2025']",1459.0,1117,0,0,100.0
Rahidil Bayramli,Azerbaijan,rahidilbayramli09,"['EGOI 2024', 'COCI 2024 CONTEST_#3', 'COCI 2024 CONTEST_#4', 'COCI 2025 CONTEST_#2', 'COCI 2025 CONTEST_#3', 'COCI 2025 CONTEST_#4', 'EGOI 2023', 'APIO 2025', 'IATI 2024 junior', 'EGOI 2025']",1467.0,1467,1467,1032,100.0
Zarnigor Rakhimova,Uzbekistan,rakhimova,['EGOI 2024'],1577.0,1577,1266,890,100.0
Gvantsa Khvedelidze,Georgia,gvancak,"['EGOI 2024', 'COCI 2024 CONTEST_#1', 'COCI 2025 CONTEST_#1', 'COCI 2025 CONTEST_#2', 'RMI 2023 contest', 'RMI 2024 contest', 'EGOI 2023', 'IATI 2024 senior', 'EGOI 2025']",1719.0,1717,1588,1462,100.0
Serena Federici,Italy,madsere,"['EGOI 2024', 'EGOI 2023']",1392.0,1392,1458,0,100.0
Viktoriia Lavrova,Ukraine,lavvikta,"['EGOI 2024', 'RMI 2023 contest', 'RMI 2024 contest', 'EGOI 2025']",1473.0,1431,985,773,100.0
Sara Stefanovska,North Macedonia,sara2006,"['EGOI 2024', 'TOKI 2024', 'COCI 2025 CONTEST_#3', 'EGOI 2023', 'EGOI 2025']",897.0,897,1097,1140,100.0
Nomin-Erdene Nyamdavaa,Mongolia,Nomia,"['EGOI 2024', 'EGOI 2025']",1394.0,1422,1332,353,100.0
Dayana Iskhakova,Kazakhstan,Dayana24,"['EGOI 2024', 'EGOI 2023']",1340.0,1385,1106,0,100.0
Assemay Bakhytzhan,Kazakhstan,018-Bakhytzhan-E-2028,"['EGOI 2024', 'EGOI 2023']",1271.0,1086,0,0,66.66666666666666
Solikha Dagarova,Uzbekistan,1iKha,"['EGOI 2024', 'EGOI 2025']",1283.0,1156,0,0,100.0
Aistė Savickaitė,Lithuania,aisteee,"['EGOI 2024', 'EGOI 2023']",1562.0,1620,1267,0,100.0
Malika Khojamuratova,Uzbekistan,molekula,"['EGOI 2024', 'EGOI 2025']",1308.0,1282,0,0,100.0
Selma Mujačić,Bosnia and Herzegovina,sqlmain,"['EGOI 2024', 'EGOI 2025']",449.0,449,0,0,100.0
Nare Khachatryan,Armenia,BiNARyBeastt,['EGOI 2024'],1741.0,1741,1791,1555,100.0
Baljmaa Batjargal,Mongolia,a.batjargal,['EGOI 2024'],0.0,0,0,0,66.66666666666666
Beatrice Cesonyte,Ireland,beatricesmart1e,"['EGOI 2024', 'EGOI 2025']",955.0,955,0,0,100.0
Piotr Jan Dybich,Poland,Piokemon,['EJOI 2024'],,2270,1974,1775,100.0
Zhan Anri,Kazakhstan,soullless,['EJOI 2024'],,2197,1954,0,100.0
Vlad-Mihai Tutunaru,Romania,tvladm,"['EJOI 2024', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_spring', 'OOI 2023 Qualification']",,2049,1973,1509,66.66666666666666
Yunus Emre Artal,Türkiye,PieArmy,"['EJOI 2024', 'JOI 2025 JOI_honsen']",,2222,1744,436,75.0
Luca-Valentin Mureșan,Romania,LucaLucaM,"['EJOI 2024', 'JOI 2023 JOI_open', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_open']",,2141,1756,1390,66.66666666666666
Isatai Ismagzi,Kazakhstan,006-Isatai-I-2026,['EJOI 2024'],,1880,1551,392,100.0
Borna Gudac,Croatia,bornag,"['EJOI 2024', 'COCI 2023 CONTEST_#1_formal', 'COCI 2023 CONTEST_#2_formal', 'COCI 2023 CONTEST_#3_formal', 'COCI 2023 CONTEST_#4_formal', 'COCI 2023 CONTEST_#5_formal', 'COCI 2024 CONTEST_#1_formal', 'COCI 2024 CONTEST_#2_formal', 'COCI 2024 CONTEST_#3_formal', 'COCI 2024 CONTEST_#4_formal', 'COCI 2024 CONTEST_#5_formal', 'COCI 2025 CONTEST_#1_formal', 'COCI 2025 CONTEST_#2_formal', 'COCI 2025 CONTEST_#3_formal', 'COCI 2025 CONTEST_#4_formal', 'COCI 2025 CONTEST_#5_formal', 'EJOI 2025']",,1663,407,0,100.0
Petar Banović,Serbia,Pekiban,"['EJOI 2024', 'JOI 2025 JOI_honsen', 'RMI 2023 contest', 'RMI 2024 contest', 'EJOI 2023', 'IOI 2025']",,2182,1700,1301,100.0
Denislav Mladenov Manev,Bulgaria,Denislav_Manev,"['EJOI 2024', 'IATI 2024 junior']",,2091,1763,0,75.0
Vladimir Grchev,North Macedonia,VladiG,"['EJOI 2024', 'EJOI 2025']",,1872,448,0,100.0
Tigran Matsakyan,Armenia,Matsak,"['EJOI 2024', 'COCI 2024 CONTEST_#1', 'COCI 2024 CONTEST_#3', 'APIO 2025', 'IOI 2025', 'IATI 2024 junior']",,1657,1263,0,100.0
Vladimeri Prangishvili,Georgia,vako_P,"['EJOI 2024', 'RMI 2023 contest', 'RMI 2024 contest', 'APIO 2025', 'IOI 2025', 'CEOI 2025']",,2107,782,0,66.66666666666666
Mate Rekhviashvili,Georgia,materekh,"['EJOI 2024', 'RMI 2023 contest', 'RMI 2024 contest', 'APIO 2025', 'IATI 2024 junior', 'EJOI 2025']",,1680,1461,969,100.0
Andria Vasadze,Georgia,Thorium,"['EJOI 2024', 'APIO 2025', 'IATI 2024 junior']",,1988,1988,1885,66.66666666666666
Aleksandar Petrov Pendov,Bulgaria,peturip1,"['EJOI 2024', 'IATI 2024 junior']",,0,0,0,50.0
Nikola Stojkovski,North Macedonia,EntityPlantt,"['EJOI 2024', 'TOKI 2024']",,1804,985,0,100.0
Marko Krenkov,North Macedonia,mkkkkkkkk,"['EJOI 2024', 'EJOI 2025']",,1681,1010,0,100.0
Arman Kirakosyan,Armenia,KIRAKOSYAN,"['EJOI 2024', 'TOKI 2024', 'APIO 2025', 'IATI 2024 junior']",,1510,1355,1042,100.0
Arnur Nurgazin,Kazakhstan,Arnur-S-Taraz_er-2025,['EJOI 2024'],,0,1101,1101,66.66666666666666
Teoman Ata Korkmaz,Türkiye,tte0,"['EJOI 2024', 'JOI 2025 JOI_honsen']",,1828,1516,1005,75.0
Luka Rančić,Croatia,lrancic,"['EJOI 2024', 'COCI 2024 CONTEST_#1_formal', 'COCI 2024 CONTEST_#2_formal', 'COCI 2024 CONTEST_#3_formal', 'COCI 2024 CONTEST_#4_formal', 'COCI 2024 CONTEST_#5_formal', 'COCI 2025 CONTEST_#1_formal', 'COCI 2025 CONTEST_#2_formal', 'COCI 2025 CONTEST_#3_formal', 'COCI 2025 CONTEST_#4_formal', 'COCI 2025 CONTEST_#5_formal']",,1403,0,0,100.0
Martynas Riekašius,Lithuania,Martynas,['EJOI 2024'],,0,0,0,66.66666666666666
Christos Alexandrou,Cyprus,christosalexandrou,"['EJOI 2024', 'COCI 2024 CONTEST_#1', 'COCI 2024 CONTEST_#2', 'EJOI 2023']",,1165,900,0,100.0
Aliaksei Badnarchuk,Switzerland,Alexe1900,['EJOI 2024'],,0,0,0,100.0
Aleksejs Tupiks,Latvia,Alex_2oo8,['EJOI 2024'],,0,0,0,66.66666666666666
Darjan Jugović,Bosnia and Herzegovina,Duelist1234,['EJOI 2024'],,1539,1164,0,100.0
Kārlis Cīmurs,Latvia,ksusters,['EJOI 2024'],,0,0,0,66.66666666666666
Aren Grigoryan,Armenia,Grigor01,"['EJOI 2024', 'IATI 2024 junior', 'EJOI 2025']",,0,0,0,66.66666666666666
Meta Heric,Slovenia,MetaHeric,"['EJOI 2024', 'COCI 2024 CONTEST_#2', 'COCI 2025 CONTEST_#1', 'COCI 2025 CONTEST_#2', 'COCI 2025 CONTEST_#3', 'COCI 2025 CONTEST_#4', 'COCI 2025 CONTEST_#5', 'EGOI 2025']",,1051,0,0,100.0
apple,Germany,apple,['JOI 2025 JOI_honsen'],0.0,0,0,0,100.0
zjy2008,China,zjy2008,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring']",2906.0,2806,2378,628,100.0
nivek114514,,nivek114514,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
JoesSR,,JoesSR,"['JOI 2025 JOI_honsen', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_spring']",3072.0,3072,2825,2413,100.0
liuhengxi,China,liuhengxi,['JOI 2025 JOI_honsen'],3045.0,3045,3009,2891,100.0
cmk666,Antarctica,cmk666,"['JOI 2025 JOI_honsen', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring']",3034.0,2956,2476,1905,100.0
NetSpeed1,China,NetSpeed1,['JOI 2025 JOI_honsen'],3063.0,2690,2525,2345,100.0
wutongchun,China,wutongchun,['JOI 2025 JOI_honsen'],2775.0,2688,2394,0,100.0
Nachia,Japan,Nachia,"['JOI 2025 JOI_honsen', 'JOI 2023 JOI_honsen', 'JOI 2023 JOI_open', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring']",3264.0,3269,2784,2764,100.0
cn449,Japan,cn449,['JOI 2025 JOI_honsen'],2895.0,2878,2277,2459,100.0
liuhaifeng,,liuhaifeng,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
lgvc,,lgvc,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_spring']",-1000.0,-1000,-1000,-1000,100.0
crazy,China,crazy,['JOI 2025 JOI_honsen'],0.0,0,1817,1817,100.0
IVE_Empathy,,IVE_Empathy,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
Numbering,South Korea,Numbering,['JOI 2025 JOI_honsen'],2605.0,2658,2479,2534,100.0
Margaret,,Margaret,['JOI 2025 JOI_honsen'],0.0,0,0,0,100.0
koosaga,South Korea,koosaga,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring']",3034.0,3225,3500,3355,100.0
harurun,,harurun,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
umbrella-leaf,China,umbrella-leaf,['JOI 2025 JOI_honsen'],2928.0,2743,2728,2172,100.0
urd05,South Korea,urd05,['JOI 2025 JOI_honsen'],2804.0,2667,2607,2575,100.0
asupersalmon,Singapore,asupersalmon,['JOI 2025 JOI_honsen'],1939.0,1905,1837,0,100.0
Reliauk,China,Reliauk,['JOI 2025 JOI_honsen'],1709.0,1709,1832,1909,100.0
tko919,Japan,tko919,['JOI 2025 JOI_honsen'],2481.0,2261,1988,2317,100.0
lunchbox,United States,lunchbox,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_spring']",2360.0,2433,2302,2123,100.0
boochi,,boochi,['JOI 2025 JOI_honsen'],0.0,0,0,0,100.0
megacat,,megacat,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
Ackhava-A-m,,Ackhava-A-m,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
bribritt,Singapore,bribritt,"['JOI 2025 JOI_honsen', 'TOKI 2024']",2603.0,2562,2344,0,100.0
__jk__,Hong Kong,__jk__,['JOI 2025 JOI_honsen'],2509.0,2512,2311,2171,100.0
seekworser,,seekworser,['JOI 2025 JOI_honsen'],2225.0,2024,2005,1393,100.0
jerzyk,Poland,jerzyk,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_spring']",2235.0,2207,2219,1862,100.0
gh663,,gh663,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
sheercold,,sheercold,"['JOI 2025 JOI_honsen', 'TOKI 2024', 'JOI 2024 JOI_spring']",2600.0,2470,2165,2165,100.0
nobita,,nobita,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_open']",0.0,0,0,0,100.0
yellowtoad,Hong Kong,yellowtoad,"['JOI 2025 JOI_honsen', 'JOI 2023 JOI_open', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring']",2287.0,2106,2075,1494,100.0
shobonvip,Japan,shobonvip,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_spring']",2585.0,2539,2447,2174,100.0
pupilemus,Mexico,pupilemus,['JOI 2025 JOI_honsen'],2090.0,2003,1579,0,100.0
Zanite,Indonesia,Zanite,['JOI 2025 JOI_honsen'],2676.0,2719,2419,2197,100.0
Pacybwoah,Taiwan,Pacybwoah,"['JOI 2025 JOI_honsen', 'JOI 2023 JOI_honsen', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_spring']",2388.0,2232,2084,1700,100.0
efedmrlr,,efedmrlr,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_honsen']",-1000.0,-1000,-1000,-1000,100.0
InternetPerson10,Philippines,InternetPerson10,['JOI 2025 JOI_honsen'],2450.0,2549,2577,2672,100.0
Noam527,Israel,Noam527,['JOI 2025 JOI_honsen'],2932.0,2799,2827,2898,100.0
gotkako,Japan,gotkako,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring']",2387.0,2326,2011,0,100.0
sunkuangzheng,,sunkuangzheng,['JOI 2025 JOI_honsen'],2438.0,2392,2100,0,100.0
bjw,,bjw,['JOI 2025 JOI_honsen'],0.0,0,0,0,100.0
platupus_koala,,platupus_koala,['JOI 2025 JOI_honsen'],1520.0,943,0,0,100.0
psychopinkq,Serbia,psychopinkq,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_spring', 'APIO 2024']",2105.0,1991,1947,1722,100.0
TheRaptor,,TheRaptor,"['JOI 2025 JOI_honsen', 'TOKI 2024', 'JOI 2024 JOI_honsen']",0.0,0,0,0,100.0
ecs,,ecs,"['JOI 2025 JOI_honsen', 'TOKI 2024']",0.0,0,0,0,100.0
paz15,Poland,paz15,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_spring']",1829.0,1971,1132,0,100.0
Luvidi,Indonesia,Luvidi,"['JOI 2025 JOI_honsen', 'TOKI 2024']",2220.0,2196,1531,0,100.0
hengdiao,,hengdiao,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
hanifchdn,Indonesia,hanifchdn,['JOI 2025 JOI_honsen'],2037.0,2082,1947,1744,100.0
ProjectCF,,ProjectCF,['JOI 2025 JOI_honsen'],2640.0,2608,1533,0,100.0
cooked,,cooked,['JOI 2025 JOI_honsen'],422.0,422,0,0,100.0
ayhan,Iran,ayhan,['JOI 2025 JOI_honsen'],0.0,0,0,0,100.0
noya2,Japan,noya2,"['JOI 2025 JOI_honsen', 'JOI 2023 JOI_honsen', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_spring']",2741.0,2616,2487,2218,100.0
jakubm,Poland,jakubm,['JOI 2025 JOI_honsen'],1735.0,1642,1319,0,100.0
antekpusz,,antekpusz,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_spring']",-1000.0,-1000,-1000,-1000,100.0
michalw,,michalw,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
4QT0R,,4QT0R,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_spring']",1907.0,1932,1468,0,100.0
ydzr00000,,ydzr00000,['JOI 2025 JOI_honsen'],0.0,0,0,0,100.0
makamasu,,makamasu,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
amentorimaru,,amentorimaru,['JOI 2025 JOI_honsen'],2237.0,2237,2270,2206,100.0
baluteshih,Taiwan,baluteshih,"['JOI 2025 JOI_honsen', 'JOI 2023 JOI_open']",2531.0,2531,2611,2604,100.0
n685,United States,n685,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_open']",2353.0,2361,2049,1754,100.0
Skad1810,,Skad1810,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
hengliao,Taiwan,hengliao,['JOI 2025 JOI_honsen'],2354.0,2223,1782,0,100.0
flandre,China,flandre,"['JOI 2025 JOI_honsen', 'TOKI 2024']",2451.0,2473,2436,2302,100.0
ByeWorld,,ByeWorld,['JOI 2025 JOI_honsen'],0.0,0,0,0,100.0
patgra,,patgra,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
mkgursoy23,,mkgursoy23,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
ASGA_RedSea,Egypt,ASGA_RedSea,"['JOI 2025 JOI_honsen', 'TOKI 2024']",1698.0,1667,1253,0,100.0
Chill_Guy,India,Chill_Guy,['JOI 2025 JOI_honsen'],1127.0,1177,0,0,100.0
hashman,,hashman,"['JOI 2025 JOI_honsen', 'APIO 2024']",1983.0,2155,1882,1260,100.0
ajaybgunjal,India,ajaybgunjal,['JOI 2025 JOI_honsen'],0.0,0,0,0,100.0
astral,,astral,['JOI 2025 JOI_honsen'],0.0,0,0,0,100.0
ahmetalp,Türkiye,ahmetalp,['JOI 2025 JOI_honsen'],2199.0,2194,1637,1177,100.0
ErikJ,Czechia,ErikJ,['JOI 2025 JOI_honsen'],2145.0,2122,1769,1640,100.0
NK_,Canada,NK_,"['JOI 2025 JOI_honsen', 'TOKI 2024', 'JOI 2023 JOI_honsen']",2282.0,2282,2232,2111,100.0
bananade,,bananade,"['JOI 2025 JOI_honsen', 'TOKI 2024']",0.0,0,0,0,100.0
Hyl_kibou,,Hyl_kibou,['JOI 2025 JOI_honsen'],1496.0,1403,0,0,100.0
Jawad_Akbar,,Jawad_Akbar,"['JOI 2025 JOI_honsen', 'TOKI 2024']",1394.0,1394,1394,362,100.0
C0DET1GER,United States,C0DET1GER,['JOI 2025 JOI_honsen'],2134.0,2196,1753,406,100.0
Matthew_Hutama,,Matthew_Hutama,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
JakubWoxniak,,JakubWoxniak,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
Teto,Mexico,Teto,['JOI 2025 JOI_honsen'],1922.0,1938,1673,1247,100.0
Aldk,China,Aldk,['JOI 2025 JOI_honsen'],2296.0,2209,1899,990,100.0
banti,Kazakhstan,banti,['JOI 2025 JOI_honsen'],2063.0,1999,1936,1725,100.0
AhmetKaan,Türkiye,AhmetKaan,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_honsen']",2249.0,2217,2203,2106,100.0
Aviansh,India,Aviansh,"['JOI 2025 JOI_honsen', 'APIO 2024']",2037.0,1852,1159,0,100.0
gurdalahmetemre,,gurdalahmetemre,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
lcjly,,lcjly,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_open']",2103.0,2103,1986,1383,100.0
edogawa_smthing,,edogawa_smthing,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
dead0ne,Türkiye,dead0ne,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_honsen']",1985.0,1958,1799,1567,100.0
Cyanberry7,,Cyanberry7,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
cms,Kazakhstan,cms,['JOI 2025 JOI_honsen'],1558.0,1593,1428,1254,100.0
nathjess,Indonesia,nathjess,['JOI 2025 JOI_honsen'],1781.0,1781,1539,0,100.0
Belgianbot,Belgium,Belgianbot,['JOI 2025 JOI_honsen'],1749.0,1682,0,0,100.0
nlvs65,,nlvs65,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
sword060,,sword060,"['JOI 2025 JOI_honsen', 'JOI 2023 JOI_open', 'JOI 2023 JOI_spring']",2045.0,2072,2091,1782,100.0
amogus,,amogus,['JOI 2025 JOI_honsen'],673.0,673,673,0,100.0
Faisal-Saqib,Pakistan,Faisal-Saqib,['JOI 2025 JOI_honsen'],1904.0,1917,1870,1219,100.0
HamzaBC,,HamzaBC,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
BaraaAhmed,,BaraaAhmed,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_open']",0.0,0,0,0,100.0
fatman87878,Taiwan,fatman87878,['JOI 2025 JOI_honsen'],1768.0,1768,1341,0,100.0
Azra,,Azra,['JOI 2025 JOI_honsen'],0.0,0,0,0,100.0
varun312,India,varun312,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_spring']",1726.0,1761,1579,0,100.0
asli_bg,Türkiye,asli_bg,['JOI 2025 JOI_honsen'],1704.0,1556,1063,0,100.0
12345678,,12345678,"['JOI 2025 JOI_honsen', 'JOI 2023 JOI_open', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring']",920.0,920,0,0,100.0
roll_backs,,roll_backs,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
Francisco_Martin,Mexico,Francisco_Martin,['JOI 2025 JOI_honsen'],1658.0,1329,0,0,100.0
AxelMagana,Mexico,AxelMagana,['JOI 2025 JOI_honsen'],1453.0,1453,1341,0,100.0
Muhammet,,Muhammet,['JOI 2025 JOI_honsen'],0.0,0,0,0,100.0
YaLong,China,YaLong,['JOI 2025 JOI_honsen'],1469.0,1489,0,0,100.0
Vannn,,Vannn,['JOI 2025 JOI_honsen'],0.0,0,0,0,100.0
MrNanama,Türkiye,MrNanama,['JOI 2025 JOI_honsen'],1744.0,1825,1557,0,100.0
Chrisedyong,China,Chrisedyong,['JOI 2025 JOI_honsen'],2043.0,2032,1906,1833,100.0
Juanchoki26,,Juanchoki26,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
Sponge,,Sponge,['JOI 2025 JOI_honsen'],0.0,0,0,0,100.0
Cesar_OM,,Cesar_OM,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
lwm7708,United States,lwm7708,['JOI 2025 JOI_honsen'],2271.0,2248,0,0,100.0
darenrectumbwoah,,darenrectumbwoah,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
Alex0x0,Mexico,Alex0x0,['JOI 2025 JOI_honsen'],1836.0,1574,1701,1339,100.0
dimasnbayu,,dimasnbayu,"['JOI 2025 JOI_honsen', 'TOKI 2024']",0.0,0,0,0,100.0
SyedSohaib,Pakistan,SyedSohaib,['JOI 2025 JOI_honsen'],1861.0,1803,1252,0,100.0
1ANH6,Mexico,1ANH6,['JOI 2025 JOI_honsen'],1485.0,1545,1284,0,100.0
Brianhdzmdo,,Brianhdzmdo,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
BobTheScience,,BobTheScience,"['JOI 2025 JOI_honsen', 'TOKI 2024']",-1000.0,-1000,-1000,-1000,100.0
yusuf12360,Indonesia,yusuf12360,['JOI 2025 JOI_honsen'],1892.0,1913,1628,0,100.0
Chiqo,,Chiqo,['JOI 2025 JOI_honsen'],0.0,0,0,0,100.0
MicroSun,,MicroSun,['JOI 2025 JOI_honsen'],0.0,0,0,0,100.0
leonel_chailand,,leonel_chailand,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
owca_nieumarlych,,owca_nieumarlych,['JOI 2025 JOI_honsen'],-1000.0,-1000,-1000,-1000,100.0
farizz,,farizz,['JOI 2025 JOI_honsen'],1417.0,1417,1363,0,100.0
Tyx2019,Singapore,Tyx2019,"['JOI 2025 JOI_honsen', 'TOKI 2024', 'JOI 2024 JOI_honsen']",2201.0,2190,1964,1060,100.0
ajinkya1p3,India,ajinkya1p3,['JOI 2025 JOI_honsen'],2182.0,2163,1994,1994,100.0
kh0i,Vietnam,kh0i,['JOI 2025 JOI_honsen'],2132.0,2184,1835,1698,100.0
startcpp,,startcpp,"['JOI 2025 JOI_honsen', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_spring']",0.0,0,0,0,100.0
jnjwnwnw,,jnjwnwnw,['JOI 2025 JOI_honsen'],1596.0,1615,817,0,100.0
davit_tsibadze,Georgia,davit_tsibadze,"['JOI 2025 JOI_honsen', 'JOI 2024 JOI_honsen']",1849.0,1859,1692,1094,100.0
ririnbaru,Japan,ririnbaru,['JOI 2025 JOI_honsen'],1959.0,1980,0,0,100.0
anton,Russia,anton,['JOI 2025 JOI_honsen'],0.0,0,0,0,100.0
litvinas,Lithuania,litvinas,"['JOI 2025 JOI_honsen', 'OOI 2024 Qualification']",1566.0,1449,1210,0,100.0
orzwtf,,orzwtf,['JOI 2025 JOI_honsen'],0.0,0,0,0,100.0
mat_jur,Poland,mat_jur,['JOI 2025 JOI_honsen'],1956.0,1956,1721,1495,100.0
